bing	52	bing	0.018327260087509484
bing	344	live search	0.018327260087509484
bing	354	msn search	0.018327260087509484
bing	98	comparison of web search engines	0.007529708086457606
bing	277	info.com	0.004987161087861572
bing	381	msnbot	0.004058058743664888
bing	343	list of search engines	0.003256244985646751
bing	656	yebol	0.0024284533370810646
bing	245	goby inc.	0.0022157052476148944
bing	637	web search engine	0.0021578628250640618
bing	447	powerset (company)	0.0020795888822034707
bing	520	search engine results pages	0.001931309523892413
bing	336	leapfish	0.0015511364032668863
bing	187	dogpile	0.001495670151864532
bing	622	webcrawler	0.001406543592149737
bing	427	organic search	0.001357136477525231
bing	326	keyword (internet search)	0.001259104006419012
bing	519	search engine optimization	0.001259104006419012
bing	638	web search query	0.001195249335989616
bing	75	carrot2	0.0010532653120899377
bing	525	semantic search	0.0010376396641514113
bing	194	duckduckgo	0.00101312200630616
bing	654	yahoo! search	9.588851899458802E-4
bing	337	learning to rank	9.431274658803133E-4
bing	518	search engine marketing	9.242021925421502E-4
bing	619	volunia	8.799360533470761E-4
bing	492	robots.txt	8.157336928291993E-4
bing	493	robots exclusion standard	8.157336928291993E-4
bing	401	naver	7.921006238445557E-4
bing	631	web mining	7.447884038164755E-4
bing	647	wolfram alpha	7.312219106039889E-4
bing	244	go.com	6.910553766615214E-4
bing	466	quaero	6.77677918296288E-4
bing	21	altavista	6.632617167923898E-4
bing	373	microsoft	5.51447535009802E-4
bing	250	google search	5.414031724934507E-4
bing	35	ask.com	4.884252635119844E-4
bing	369	meta tags	4.28107940625014E-4
bing	355	machine learning	4.2483507487054226E-4
bing	152	data mining	3.895971996361125E-4
bing	117	computer vision	3.8231272098009024E-4
bing	276	index (search engine)	3.702199717925031E-4
bing	517	search engine indexing	3.702199717925031E-4
bing	45	baidu	3.5994656260836266E-4
bing	625	web crawler	3.4253885593081833E-4
bing	626	web crawling	3.4253885593081833E-4
bing	241	geographic information systems	3.269207637752063E-4
bing	247	google	3.0125322655858203E-4
bing	0	1890 us census	2.7017995578610055E-4
bing	1	a9.com	2.7017995578610055E-4
bing	2	acm computing classification system	2.7017995578610055E-4
bing	3	advise	2.7017995578610055E-4
bing	4	aol	2.7017995578610055E-4
bing	5	aol search	2.7017995578610055E-4
bing	6	academic press	2.7017995578610055E-4
bing	7	academic journal	2.7017995578610055E-4
bing	8	accuracy and precision	2.7017995578610055E-4
bing	9	actuate corporation	2.7017995578610055E-4
bing	10	adversarial information retrieval	2.7017995578610055E-4
bing	11	adverse drug reaction	2.7017995578610055E-4
bing	12	advertising	2.7017995578610055E-4
bing	13	aggregate (data warehouse)	2.7017995578610055E-4
bing	14	aggregate function	2.7017995578610055E-4
bing	15	alan emtage	2.7017995578610055E-4
bing	16	algorithm	2.7017995578610055E-4
bing	17	algorithm design	2.7017995578610055E-4
bing	18	aliweb	2.7017995578610055E-4
bing	19	alltheweb	2.7017995578610055E-4
bing	20	alpha consumer	2.7017995578610055E-4
bing	22	alvin weinberg	2.7017995578610055E-4
bing	23	analysis of algorithms	2.7017995578610055E-4
bing	24	analytics	2.7017995578610055E-4
bing	25	anchor modeling	2.7017995578610055E-4
bing	26	angoss	2.7017995578610055E-4
bing	27	anomaly detection	2.7017995578610055E-4
bing	28	archie comics	2.7017995578610055E-4
bing	29	archie search engine	2.7017995578610055E-4
bing	30	argonne national laboratory	2.7017995578610055E-4
bing	31	artificial intelligence	2.7017995578610055E-4
bing	32	artificial life	2.7017995578610055E-4
bing	33	artificial neural network	2.7017995578610055E-4
bing	34	as we may think	2.7017995578610055E-4
bing	36	association for computing machinery	2.7017995578610055E-4
bing	37	association rule	2.7017995578610055E-4
bing	38	association rule learning	2.7017995578610055E-4
bing	39	association rule mining	2.7017995578610055E-4
bing	40	association rules	2.7017995578610055E-4
bing	41	atlantic monthly	2.7017995578610055E-4
bing	42	automata theory	2.7017995578610055E-4
bing	43	automated reasoning	2.7017995578610055E-4
bing	44	automatic summarization	2.7017995578610055E-4
bing	46	bayes' theorem	2.7017995578610055E-4
bing	47	berlekamp	2.7017995578610055E-4
bing	48	bibliometrics	2.7017995578610055E-4
bing	49	bill inmon	2.7017995578610055E-4
bing	50	binary independence model	2.7017995578610055E-4
bing	51	binary classification	2.7017995578610055E-4
bing	53	bioinformatic	2.7017995578610055E-4
bing	54	bioinformatics	2.7017995578610055E-4
bing	55	biomedical	2.7017995578610055E-4
bing	56	blackle.com	2.7017995578610055E-4
bing	57	blekko	2.7017995578610055E-4
bing	58	boogami	2.7017995578610055E-4
bing	59	boolean algebra	2.7017995578610055E-4
bing	60	boolean operators	2.7017995578610055E-4
bing	61	bram stoker	2.7017995578610055E-4
bing	62	british petroleum	2.7017995578610055E-4
bing	63	business intelligence	2.7017995578610055E-4
bing	64	business intelligence tools	2.7017995578610055E-4
bing	65	buzzword	2.7017995578610055E-4
bing	66	c. j. van rijsbergen	2.7017995578610055E-4
bing	67	capps ii	2.7017995578610055E-4
bing	68	cern	2.7017995578610055E-4
bing	69	cikm conference	2.7017995578610055E-4
bing	70	crisp-dm	2.7017995578610055E-4
bing	71	calvin mooers	2.7017995578610055E-4
bing	72	cambridge university press	2.7017995578610055E-4
bing	73	cancer	2.7017995578610055E-4
bing	74	carnegie mellon university	2.7017995578610055E-4
bing	76	case western reserve university	2.7017995578610055E-4
bing	77	categorization	2.7017995578610055E-4
bing	78	category theory	2.7017995578610055E-4
